<naruto>「なー　なー　げきマユ先生と　カカシ先生って|いつごろから　ライバルだったわけ？」=<naruto>Hey, Bushier Brows-sensei!||How long have you been rivals with Kakashi-sensei?
<guy>「ウム！　よいしつもんだ！|カカシとは　おないどしでね」=<guy>That's a very good question, kiddo!
「ちいさいころから　なにかと|たいりつすることが　おおく」=We were in the same class at the Ninja Academy, you see.
「体術がっせんや　１００メートルそうなど|いろいろやったもんだよ」=So even as kids, we were always competing.
<naruto>「・・・ンじゃあさ！|つぎはいつ　なにやるの？」=<naruto>That long, huh!? So what'll your next challenge be?
<guy>「ウ～ム！　つぎは　カカシが|しゅもくをきめるばんだからな<w5>・<w5>・<w5>・」=<guy>It's Kakashi's turn to decide this time<w5>.<w5>.<w5>.
「ま！　どんなしゅもくを　いってこようとも|オレは　うけてたつがな！」=But no matter what he throws at me, I'll give it my all!
<lee>「ガイ先生！　かっこよすぎですーー！！」=<lee>You are so cool, Guy-sensei!
<guy>「フッ<w5>・<w5>・<w5>・<w21>　ナウいおとことは|こういうものさ　リー！」=<guy>Not as cool as you'll be when you grow up, Lee!
<lee>「ガイせんせーー！！」=<lee>Guy-senseeeei!!!
<naruto>「いいな<w5>・<w5>・<w5>・<w21>　こうゆうノリ」=<naruto>I gotta say...<w32>this warmed my heart.
<neji>「フン・・・<w21>　くだらん」=<neji>It'll get colder the tenth time you see this in a row.
